# t theta omega E_kin E_pot E_tot
2.49000 0.66353 -1.46826 1.07790 2.08147 3.15937
2.50000 0.64856 -1.52542 1.16345 1.99190 3.15534
2.51000 0.63303 -1.58163 1.25078 1.90078 3.15156
2.52000 0.61693 -1.63685 1.33963 1.80841 3.14804
2.53000 0.60029 -1.69101 1.42975 1.71508 3.14484
2.54000 0.58312 -1.74405 1.52086 1.62110 3.14196
2.55000 0.56542 -1.79593 1.61269 1.52677 3.13946
2.56000 0.54720 -1.84658 1.70493 1.43242 3.13736
2.57000 0.52849 -1.89594 1.79730 1.33838 3.13568
2.58000 0.50929 -1.94395 1.88948 1.24497 3.13445
2.59000 0.48961 -1.99056 1.98117 1.15254 3.13371
2.60000 0.46948 -2.03571 2.07205 1.06142 3.13347
2.61000 0.44891 -2.07933 2.16180 0.97195 3.13375
2.62000 0.42790 -2.12137 2.25011 0.88448 3.13459
2.63000 0.40648 -2.16178 2.33665 0.79935 3.13600
2.64000 0.38467 -2.20050 2.42109 0.71690 3.13799
2.65000 0.36248 -2.23747 2.50313 0.63745 3.14058
2.66000 0.33993 -2.27264 2.58245 0.56134 3.14379
2.67000 0.31703 -2.30596 2.65873 0.48889 3.14762
2.68000 0.29381 -2.33739 2.73169 0.42040 3.15209
2.69000 0.27029 -2.36686 2.80102 0.35617 3.15720
2.70000 0.24648 -2.39435 2.86646 0.29649 3.16295
2.71000 0.22241 -2.41980 2.92772 0.24164 3.16936
2.72000 0.19809 -2.44318 2.98456 0.19185 3.17641
2.73000 0.17355 -2.46444 3.03674 0.14737 3.18412
2.74000 0.14881 -2.48356 3.08404 0.10842 3.19246
2.75000 0.12389 -2.50050 3.12625 0.07519 3.20144
2.76000 0.09881 -2.51523 3.16320 0.04785 3.21105
2.77000 0.07359 -2.52773 3.19472 0.02655 3.22127
2.78000 0.04826 -2.53798 3.22067 0.01142 3.23209
2.79000 0.02284 -2.54595 3.24094 0.00256 3.24350
2.80000 -0.00265 -2.55164 3.25544 0.00003 3.25547
2.81000 -0.02818 -2.55503 3.26409 0.00390 3.26799
2.82000 -0.05374 -2.55612 3.26687 0.01416 3.28103
2.83000 -0.07930 -2.55490 3.26375 0.03083 3.29458
2.84000 -0.10483 -2.55137 3.25474 0.05385 3.30859
2.85000 -0.13032 -2.54553 3.23987 0.08318 3.32305
2.86000 -0.15573 -2.53740 3.21921 0.11872 3.33793
2.87000 -0.18106 -2.52699 3.19284 0.16036 3.35320
2.88000 -0.20627 -2.51431 3.16087 0.20795 3.36881
2.89000 -0.23134 -2.49937 3.12342 0.26133 3.38475
2.90000 -0.25625 -2.48220 3.08066 0.32031 3.40097
